timeframe,lookback_h,mode,final_equity,cagr,sharpe,vol_ann,max_dd,n_trades,n_long,n_short,win_rate,avg_trade_pnl,n_stops,in_market_pct,n_bars
1h,96,long_only,3.188356306980152,0.2606749396739132,0.68650126562182,0.5989311974271745,-0.8049008254262654,2,2,0,0.5,1.094178153490076,1,0.9953247582557927,43848
1h,48,long_only,3.1194317262941205,0.2551826427581232,0.6805316556357875,0.5896210363504174,-0.8006575896280872,3,3,0,0.3333333333333333,0.7064772420980402,2,0.9969896004378763,43848
1h,24,long_only,3.0845144467460384,0.25236309171349314,0.674890462405143,0.6035335919465122,-0.8096148942612731,4,4,0,0.25,0.5211286116865096,3,0.9975597518700967,43848
1h,168,long_only,6.387350343701395,0.44839771869040157,0.6394270037538815,27.39979175078454,-1.0076280827114088,8,8,0,0.125,0.6734187929626745,7,0.9722678343367999,43848
4h,168,long_only,2.473808991688283,0.1983594635463195,0.623036435927884,0.4616305975361559,-0.7093482303536605,5,5,0,0.2,0.2947617983376566,4,0.9778325123152709,10962
4h,96,long_only,2.225426755951159,0.1732933225287494,0.607680424835078,0.3852131417946912,-0.6243041958688137,2,2,0,0.5,0.6127133779755796,1,0.9953475643130816,10962
4h,48,long_only,2.127874593296741,0.16283315484183314,0.6018108981833684,0.35618251847695287,-0.5937793431338999,2,2,0,0.5,0.5639372966483704,1,0.9973544973544973,10962
4h,24,long_only,1.598036693491448,0.09817809450214421,0.5078244556982193,0.24225262214315807,-0.43340644758545865,2,2,0,0.5,0.29901834674572403,1,0.9979930669585843,10962
4h,168,long_short,1.2626435596649026,0.04769284826852482,0.3066007327008295,0.34104877295167985,-0.4961036824582778,752,376,376,0.2699468085106383,0.0003492600527458811,127,0.9188104360518153,10962
4h,96,long_short,0.8899269824429249,-0.023028346035932734,0.11937838555538616,0.36738890774994476,-0.6705139540358425,1038,519,519,0.2514450867052023,-0.00010604336951548661,145,0.9661558109833972,10962
1h,168,long_short,0.43466290520118755,-0.15333864383845308,0.07985967093561114,0.6640084630632287,-0.876652167012055,1470,735,735,0.2163265306122449,-0.00038458305768626703,308,0.824461777047984,43848
4h,48,long_short,0.31826847618548915,-0.20444981254914352,-0.41906864714383013,0.3768936764583384,-0.7867629347073223,1567,783,784,0.25654116145500955,-0.00043505521621857744,152,0.9902390074803868,10962
1h,96,long_short,0.01351414785322916,-0.5767792281670434,-0.9624970664181737,0.6648063737547205,-0.994283836323001,1946,973,973,0.1932168550873587,-0.0005069300370743941,379,0.8319193577814268,43848
1h,48,long_short,0.004796877258233331,-0.6558882931205723,-1.1240757268464074,0.7194917783968883,-0.9974231377839702,3027,1513,1514,0.2028410967955071,-0.0003287753956860808,460,0.9418673599708083,43848
4h,24,long_short,0.0479049893762954,-0.4550394499468077,-1.450816102908179,0.3710423880036329,-0.9594757432788764,2236,1118,1118,0.24821109123434704,-0.00042580277755979636,168,0.99480021893815,10962
1h,24,long_short,1.0731448565075825e-05,-0.8983237200679423,-2.843339459011909,0.7143967113791908,-0.999992297370833,4463,2232,2231,0.20076181940398835,-0.0002240621260478232,496,0.9666575442437512,43848
